ROLL;PITCH; YAW;ACC X;ACC Y;ACC Z;GYRO X;GYRO Y;GYRO Z;TEMPERATUR;PRESSURE;ALTITUDE;
7;1;-82;-1952;-348;15196;73;7;120;29.80;100.77;151.66;
7;1;-82;-1952;-348;15196;73;7;120;29.80;100.77;151.66;
7;1;-82;-1952;-348;15196;73;7;120;29.80;100.77;151.66;
6;1;-83;-1836;-284;15344;45;-16;103;29.80;100.77;153.31;
6;1;-83;-1836;-284;15344;45;-16;103;29.80;100.77;153.31;
6;1;-83;-1836;-284;15344;45;-16;103;29.80;100.77;153.31;
6;1;-83;-1836;-284;15344;45;-16;103;29.80;100.77;153.31;
6;1;-83;-1836;-284;15344;45;-16;103;29.80;100.77;153.31;
7;1;-82;-1988;-356;15344;67;0;99;29.80;100.76;153.59;
7;1;-82;-1988;-356;15344;67;0;99;29.80;100.76;153.59;
7;1;-82;-1988;-356;15344;67;0;99;29.80;100.76;153.59;
7;1;-82;-1988;-356;15344;67;0;99;29.80;100.76;153.59;
7;1;-82;-1988;-356;15344;67;0;99;29.80;100.76;153.59;
7;1;-82;-1972;-396;14956;79;-35;111;29.80;100.76;153.86;
7;1;-82;-1972;-396;14956;79;-35;111;29.80;100.76;153.86;
7;1;-82;-1972;-396;14956;79;-35;111;29.80;100.76;153.86;
7;1;-82;-1972;-396;14956;79;-35;111;29.80;100.76;153.86;
7;1;-82;-1972;-396;14956;79;-35;111;29.80;100.76;153.86;
7;1;-82;-1972;-396;14956;79;-35;111;29.80;100.76;153.86;
7;1;-82;-1960;-348;15276;44;-3;119;29.80;100.76;151.12;
7;1;-82;-1960;-348;15276;44;-3;119;29.80;100.76;151.12;
7;1;-82;-1960;-348;15276;44;-3;119;29.80;100.76;151.12;
7;1;-82;-1960;-348;15276;44;-3;119;29.80;100.76;151.12;
7;1;-82;-1960;-348;15276;44;-3;119;29.80;100.76;151.12;
7;1;-82;-1884;-384;15300;43;27;104;29.80;100.76;153.86;
7;1;-82;-1884;-384;15300;43;27;104;29.80;100.76;153.86;
7;1;-82;-1884;-384;15300;43;27;104;29.80;100.76;153.86;
7;1;-82;-1884;-384;15300;43;27;104;29.80;100.76;153.86;
